SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
370;"312";3;Tilsynsførende inden for råstofindvinding, fremstillingsvirksomhed og bygge- og anlægsvirksomhed;;;;;;
371;"3121";4;Tilsynsførende inden for råstofindvinding;;;;;;
372;"312100";5;Tilsynsførende inden for råstofindvinding;;;;;;
373;"3122";4;Tilsynsførende inden for fremstillingsvirksomhed;;;;;;
374;"312200";5;Tilsynsførende inden for fremstillingsvirksomhed;;;;;;
375;"3123";4;Tilsynsførende inden for bygge- og anlægsvirksomhed;;;;;;
376;"312300";5;Tilsynsførende inden for bygge- og anlægsvirksomhed;;;;;;
377;"313";3;Teknisk kontrolarbejde inden for processtyring;;;;;;
378;"3131";4;Teknisk kontrolarbejde på kraftværker;;;;;;
379;"313100";5;Teknisk kontrolarbejde på kraftværker;;;;;;
380;"3132";4;Teknisk kontrolarbejde på forbrændings- og vandrensningsanlæg;;;;;;
381;"313200";5;Teknisk kontrolarbejde på forbrændings- og vandrensningsanlæg;;;;;;
382;"3133";4;Teknisk kontrolarbejde på kemiske behandlingsanlæg;;;;;;
383;"313300";5;Teknisk kontrolarbejde på kemiske behandlingsanlæg;;;;;;
384;"3134";4;Teknisk kontrolarbejde på olie- og naturgasraffinaderier;;;;;;
385;"313400";5;Teknisk kontrolarbejde på olie- og naturgasraffinaderier;;;;;;
